Club,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Borussia Dortmund,0.5424944205966674,0.9073145655744745,0.3338463223961551,0.014702589187632523,-0.2882663548115545,0.5436005505657433,-0.2359437093018421,-0.3404491958442556,0.23333049291782745,-0.16355034071822624,0.2633373681028676,-0.11818647108025114,0.10025751558879609
Borussia M'gladbach,0.0347554778596856,0.0600554858696037,0.03033379717329743,0.07172308957972398,0.59013178303803,0.3954704246257659,-0.4349019663823404,-0.04585233808251483,-0.03844610055342527,0.022911367722399035,0.12190524756352807,-0.16279541098647715,-0.003173463458508354
Bournemouth,1.051481291956892,-0.4664156340413086,-0.2779039062455831,0.5719033679430349,-0.4288417113308117,-0.6589356351768477,-0.18365670041523124,-0.05645352765371869,-0.22836506464938144,0.2627828404325918,-0.0073274599822543245,0.09273774207043595,0.07533431326942966
Brentford,0.3847340199346881,0.4365925862149593,-0.034271735003704805,0.0978358565946323,-0.13348008410517673,0.06986592822583951,-0.1756621541819592,-0.06256943884867133,-0.04553495907994901,-0.17430717909867025,0.5062436460273325,0.08243337375522758,-0.12157364089251697
Brest,-0.7087435571768448,-1.304700808022325,-0.41093419416648747,0.001000943646045857,0.02759711802416821,-0.34452135973978765,0.23295847961013685,-0.17409419709220636,-0.02242038892408795,0.07689704932853623,-0.1696304745867298,-0.046685854054007096,-0.328656588772276
Brighton,-0.4743715665439672,0.825670149271741,-0.47067763577665955,-0.32019904202260363,-0.3405056765543747,-0.34950288811955993,0.012420146279589633,0.09271575674382353,0.06673990352962557,-0.13056291146205884,0.22523741892891663,-0.395123220725821,0.3462265324919927
Burnley,-0.2835223398791787,0.15289498515260339,-0.07760087236962211,0.1763617634515702,-0.026394238831076333,-0.04496838227932087,0.10748863399156997,0.2640762532006206,-0.16248308237905237,-0.14014197573041637,0.2359993296197312,0.06824876856605946,0.24190790208169854
Cagliari,-1.0358537467765936,-1.2629317786320777,0.7763061853210708,-0.6093224127757296,0.5277893494734713,-0.23461963208978528,0.08722414583299255,0.2767230343880673,0.07432302054204382,-0.14363557011492378,-0.03627670315963291,0.5085112038283353,0.004634643138253818
Celta,0.29129258939993324,-0.5942977038410291,-0.40722292605068355,-0.39463360565927913,0.2118123524519861,-0.30918513083506427,0.3206490297929753,-0.2521065098267085,0.2630660828764905,0.04258096315390302,-0.10302665241080947,0.08327180326035317,-0.16179506217543432
Chelsea,0.855557008659962,1.0580886091954798,0.1188198700208511,0.9191092602929369,-0.9240864736700974,-0.14184168639748382,-0.1860456123259052,0.2909567461826219,0.25980744318166427,-0.47289041253063996,-0.025085930931232136,0.295389440985296,0.07829043020684677
