Home,xG,Score,xG.1,Away
Atlético,2.5,1–0,1.1,Osasuna
Elche,1,0–0,0.3,Athletic
Celta,1,1–1,1.5,Real Sociedad
Levante,0.9,0–3,1.5,Rayo Vallecano
Getafe,0.6,0–1,2.3,Real Madrid
Alavés,0.7,0–0,0.4,Valencia
Real Sociedad,1.6,2–1,0.2,Sevilla
Girona,2,3–3,1.7,Real Oviedo
Espanyol,1.9,1–0,1,Elche
Athletic,0.4,0–1,0.9,Getafe
Valencia,0.8,0–2,2.2,Villarreal
Mallorca,1.6,1–1,1.9,Levante
Real Madrid,3.6,2–1,1.1,Barcelona
Osasuna,2.3,2–3,1.7,Celta
Rayo Vallecano,1.2,1–0,1,Alavés
Real Betis,1.1,0–2,0.6,Atlético
Getafe,0.9,2–1,1.4,Girona
Villarreal,2.9,4–0,1,Rayo Vallecano
Atlético,3.3,3–0,0.3,Sevilla
Real Sociedad,1.6,3–2,1,Athletic
Real Madrid,2.9,4–0,0.5,Valencia
Levante,1.1,1–2,2,Celta
Alavés,1.2,2–1,1,Espanyol
Barcelona,1.9,3–1,0.7,Elche
Real Betis,2.4,3–0,0.6,Mallorca
Real Oviedo,1,0–0,0.8,Osasuna
Elche,0.9,1–1,1.4,Real Sociedad
Girona,0.9,1–0,1.8,Alavés
Sevilla,1.4,1–0,1,Osasuna
Atlético,2.9,3–1,1,Levante
Espanyol,0.5,0–2,1.6,Villarreal
Athletic,1.7,1–0,0.2,Real Oviedo
Rayo Vallecano,1.2,0–0,0.9,Real Madrid
Valencia,1.8,1–1,1.6,Real Betis
Mallorca,1.1,1–0,0.7,Getafe
Celta,0.6,2–4,3.2,Barcelona
Valencia,1.5,1–0,0.7,Levante
Alavés,0.4,0–1,1.4,Celta
Barcelona,2,4–0,0.9,Athletic
Osasuna,1.1,1–3,1.6,Real Sociedad
Villarreal,2.2,2–1,0.9,Mallorca
Real Oviedo,0.4,0–0,1.7,Rayo Vallecano
Real Betis,1.4,1–1,1.8,Girona
